Word,Count
Lorem,1
commodo,1
consequat.,1
Duis,1
aute,1
irure,1
reprehenderit,1
voluptate,1
velit,1
esse,1
cillum,1
eu,1
fugiat,1
nulla,1
ea,1
pariatur.,1
sint,1
occaecat,1
cupidatat,1
non,1
"proident,",1
sunt,1
culpa,1
qui,1
officia,1
deserunt,1
mollit,1
anim,1
id,1
Excepteur,1
est,1
ex,1
nisi,1
ipsum,1
sit,1
"amet,",1
consectetur,1
adipiscing,1
"elit,",1
sed,1
do,1
eiusmod,1
tempor,1
incididunt,1
labore,1
aliquip,1
et,1
magna,1
laboris,1
ullamco,1
exercitation,1
nostrud,1
quis,1
"veniam,",1
laborum.,1
ad,1
enim,1
Ut,1
aliqua.,1
minim,1
dolore,2
ut,2
dolor,2
in,3
